customername,recency,ordernumber,monetary
"AV Stores, Co.",195,3,157807.81
Alpha Cognac,64,3,70488.44
Amica Models & Co.,264,2,94117.26
"Anna's Decorations, Ltd",83,4,153996.13
Atelier graphique,187,3,24179.96
"Australian Collectables, Ltd",22,3,64591.46
"Australian Collectors, Co.",183,5,200995.41
"Australian Gift Network, Co",118,3,59469.12
Auto Assoc. & Cie.,232,2,64834.32
Auto Canal Petit,54,3,93170.66
Auto-Moto Classics Inc.,179,3,26479.26
Baane Mini Imports,207,4,116599.19
"Bavarian Collectables Imports, Co.",258,1,34993.92
"Blauer See Auto, Co.",207,4,85171.59
Boards & Toys Co.,112,2,9129.35
CAF Imports,438,2,49642.05
Cambridge Collectables Co.,388,2,36163.62
Canadian Gift Exchange Network,221,2,75238.92
"Classic Gift Ideas, Inc",229,2,67506.97
Classic Legends Inc.,191,3,77795.2
"Clover Collections, Co.",257,2,57756.43
Collectable Mini Designs Co.,460,2,87489.23
Collectables For Less Inc.,131,3,81577.98
Corporate Gift Ideas Co.,97,4,149882.5
"Corrida Auto Replicas, Ltd",211,3,120615.28
Cruz & Sons Co.,196,3,94015.73
Daedalus Designs Imports,465,2,69052.41
Danish Wholesale Imports,46,5,145041.6
Diecast Classics Inc.,1,4,122138.14
Diecast Collectables,400,2,70859.78
"Double Decker Gift Stores, Ltd",495,2,36019.04
"Dragon Souveniers, Ltd.",90,5,172989.68
Enaco Distributors,188,3,78411.86
Euro Shopping Channel,0,26,912294.11
FunGiftIdeas.com,89,3,98923.73
Gift Depot Inc.,26,3,101894.79
Gift Ideas Corp.,178,3,57294.42
Gifts4AllAges.com,25,3,83209.88
Handji Gifts& Co,38,4,115498.73
Heintze Collectables,221,2,100595.55
Herkku Gifts,270,3,111640.28
"Iberia Gift Imports, Corp.",237,2,54723.62
L'ordine Souveniers,21,3,142601.33
"La Corne D'abondance, Co.",192,3,97203.68
La Rochelle Gifts,0,4,180124.9
Land of Toys Inc.,197,4,164069.44
Lyon Souveniers,75,3,78570.34
Marseille Mini Autos,145,3,74936.14
Marta's Replicas Co.,230,2,103080.38
"Men 'R' US Retailers, Ltd.",508,2,48048.46
Microscale Inc.,209,2,33144.93
Mini Auto Werke,82,3,52263.9
Mini Caravy,47,3,80438.48
Mini Classics,228,2,85555.99
Mini Creations Ltd.,144,3,108951.13
Mini Gifts Distributors Ltd.,2,17,654858.06
Mini Wheels Co.,194,3,74476.18
Motor Mint Distributors Inc.,195,3,83682.16
Muscle Machine Inc,181,4,197736.94
"Norway Gifts By Mail, Co.",283,2,79224.23
Online Diecast Creations Co.,208,3,131685.3
Online Mini Collectables,263,2,57197.96
Osaka Souveniers Co.,413,2,67605.07
"Oulu Toy Supplies, Inc.",120,3,104370.38
Petit Auto,1,3,74972.52
Quebec Home Shopping Network,30,3,74204.79
Reims Collectables,62,5,135042.94
Rovelli Gifts,200,3,137955.72
"Royal Canadian Collectables, Ltd.",284,2,74634.85
Royale Belge,141,4,33440.1
Salzburg Collectables,14,4,149798.63
"Saveley & Henriot, Co.",455,3,142874.25
Scandinavian Gift Ideas,89,3,134259.33
Signal Collectibles Ltd.,476,2,50218.51
Signal Gift Stores,183,3,82751.08
Souveniers And Things Co.,2,4,151570.98
"Stylish Desk Decors, Co.",179,3,88804.5
Suominen Souveniers,145,3,113961.15
Super Scale Inc.,392,2,79472.07
Technics Stores Inc.,146,4,120783.07
Tekni Collectables Inc.,58,3,83228.19
The Sharp Gifts Warehouse,39,4,160010.27
"Tokyo Collectables, Ltd",39,4,120562.74
"Toms Spezialitten, Ltd",227,2,100306.58
"Toys of Finland, Co.",111,3,111250.38
Toys4GrownUps.com,139,3,104561.95999999999
"UK Collectables, Ltd.",53,3,118008.27
"Vida Sport, Ltd",274,2,117713.56
Vitachrome Inc.,207,3,88041.26
"Volvo Model Replicas, Co",193,4,75754.88
West Coast Collectables Co.,488,2,46084.64
giftsbymail.co.uk,211,2,78240.84
